id,recency,log_history,mens,womens,newbie,urban,true_tau
103525,1.0,5.032185386728417,0.0,0.0,0.0,1.0,0.0
103526,12.0,4.0184718992514545,0.0,1.0,0.0,1.0,0.091
103527,6.0,4.235229541915919,1.0,0.0,0.0,0.0,0.0
103528,5.0,1.539041187224238,0.0,0.0,1.0,0.0,0.0
103529,1.0,3.5136850468492797,0.0,0.0,1.0,0.0,0.0
103530,3.0,5.612824354462693,1.0,0.0,0.0,1.0,0.0
103531,11.0,2.47935702062935,0.0,1.0,0.0,0.0,0.091
103532,5.0,3.547106908865931,0.0,0.0,0.0,1.0,0.0
103533,9.0,4.273177843942674,0.0,0.0,1.0,1.0,0.0
103534,2.0,4.528858689058436,0.0,1.0,0.0,1.0,0.091
103535,5.0,5.472597261069976,1.0,0.0,1.0,1.0,0.0
103536,4.0,2.499182435979611,0.0,1.0,1.0,0.0,0.26
103537,11.0,4.055960299184776,1.0,1.0,0.0,0.0,-0.04
103538,5.0,4.782118316075929,0.0,1.0,1.0,0.0,0.0
103539,10.0,2.8757418946483337,1.0,1.0,1.0,1.0,-0.04
103540,12.0,3.9830834763829275,1.0,0.0,0.0,0.0,-0.04
103541,4.0,5.699669128428856,1.0,1.0,0.0,0.0,0.0
103542,3.0,5.1904409042857065,1.0,0.0,0.0,0.0,0.0
103543,11.0,4.496756142972656,0.0,1.0,1.0,0.0,0.26
103544,12.0,1.8234329452296387,0.0,1.0,1.0,0.0,0.26
103545,12.0,3.9030849881817606,1.0,0.0,0.0,1.0,-0.04
103546,2.0,4.360631076797103,0.0,0.0,0.0,1.0,0.0
103547,8.0,3.746261637668034,1.0,1.0,0.0,1.0,0.091
103548,2.0,3.960345221600995,1.0,0.0,0.0,0.0,0.0
103549,5.0,6.776222539765583,0.0,1.0,1.0,0.0,0.0
103550,5.0,3.828950374274815,0.0,1.0,0.0,1.0,0.091
103551,11.0,3.1702339147794554,0.0,0.0,0.0,0.0,0.0
103552,9.0,4.233192807822906,1.0,0.0,0.0,0.0,-0.04
103553,12.0,3.739936273572203,0.0,1.0,0.0,0.0,0.091
103554,11.0,3.745142640614977,0.0,0.0,1.0,0.0,0.0
103555,5.0,3.9412268667683223,0.0,1.0,1.0,0.0,0.26
103556,11.0,4.705721623363859,1.0,0.0,0.0,0.0,-0.04
103557,2.0,4.2284374455894245,0.0,1.0,0.0,0.0,0.091
103558,3.0,2.9712972233531927,1.0,0.0,0.0,0.0,0.0
103559,11.0,3.900994692434699,1.0,1.0,0.0,0.0,-0.04
103560,1.0,4.438882690254026,1.0,1.0,0.0,1.0,0.091
103561,8.0,3.6065671962876036,1.0,0.0,0.0,0.0,0.0
103562,11.0,5.040540691113383,0.0,1.0,1.0,1.0,0.0
103563,3.0,4.708474780499716,0.0,0.0,0.0,0.0,0.0
103564,9.0,3.1520156893441524,0.0,0.0,0.0,1.0,0.0
103565,7.0,4.301456020575782,0.0,0.0,0.0,0.0,0.0
103566,9.0,5.788464719167824,0.0,0.0,1.0,1.0,0.0
103567,4.0,5.4086522351607105,1.0,0.0,0.0,0.0,0.0
103568,2.0,3.9684390711850077,1.0,0.0,1.0,0.0,0.0
103569,12.0,4.8159827951660485,0.0,1.0,0.0,1.0,0.0
103570,2.0,3.42656141598499,1.0,1.0,1.0,0.0,0.26
103571,5.0,2.7619802173410393,1.0,1.0,0.0,1.0,0.091
103572,1.0,4.509947577686225,0.0,0.0,0.0,1.0,0.0
103573,3.0,4.236447950487595,0.0,1.0,0.0,0.0,0.091
103574,8.0,4.474200535836042,1.0,1.0,0.0,1.0,0.091
103575,1.0,3.9963248890280694,1.0,0.0,1.0,0.0,0.0
103576,3.0,4.306941054821015,1.0,0.0,0.0,1.0,0.0
103577,5.0,3.5670230601499164,1.0,1.0,0.0,0.0,0.091
103578,4.0,4.437824734770079,1.0,1.0,1.0,0.0,0.26
103579,12.0,4.758389007628255,0.0,1.0,0.0,0.0,0.091
103580,3.0,3.9665513445531637,1.0,1.0,0.0,0.0,0.091
103581,3.0,4.741495111308804,1.0,1.0,0.0,0.0,0.091
103582,10.0,2.4924776704033667,1.0,1.0,1.0,1.0,-0.04
103583,6.0,3.328889451880018,0.0,0.0,0.0,0.0,0.0
103584,6.0,5.30504129898827,1.0,0.0,1.0,0.0,0.0
103585,12.0,5.589250606095006,0.0,1.0,1.0,1.0,0.0
103586,3.0,4.240048542957124,1.0,0.0,0.0,1.0,0.0
103587,1.0,3.926882360267293,0.0,1.0,1.0,0.0,0.26
103588,11.0,2.91458369278821,0.0,1.0,0.0,0.0,0.091
103589,4.0,4.3403361825833695,1.0,1.0,0.0,1.0,0.091
103590,4.0,4.709643492335015,1.0,1.0,1.0,1.0,0.26
103591,10.0,2.733583595140572,0.0,0.0,1.0,0.0,0.0
103592,8.0,4.514023310126961,0.0,1.0,1.0,0.0,0.26
103593,2.0,4.453308249166717,0.0,0.0,0.0,0.0,0.0
103594,11.0,4.409020087213988,0.0,1.0,0.0,1.0,0.091
103595,12.0,3.034518905241347,0.0,0.0,0.0,1.0,0.0
103596,1.0,4.498843255344621,1.0,1.0,0.0,0.0,0.091
103597,11.0,2.7199979983887292,0.0,0.0,0.0,0.0,0.0
103598,3.0,5.344521901531112,1.0,1.0,1.0,0.0,0.0
103599,2.0,4.137752504898366,1.0,1.0,0.0,0.0,0.091
103600,10.0,3.003594587660378,1.0,0.0,1.0,0.0,-0.04
103601,8.0,5.216110773237692,0.0,0.0,1.0,0.0,0.0
103602,6.0,5.045071240083852,0.0,0.0,1.0,0.0,0.0
103603,7.0,3.4469715959971214,1.0,1.0,0.0,0.0,0.091
103604,3.0,5.986210086618886,1.0,1.0,0.0,0.0,0.0
103605,9.0,3.140496663012291,0.0,0.0,1.0,1.0,0.0
103606,5.0,4.295796905971921,0.0,0.0,0.0,0.0,0.0
103607,4.0,5.070492999746549,1.0,0.0,0.0,0.0,0.0
103608,7.0,2.088621976079298,0.0,0.0,1.0,1.0,0.0
103609,5.0,4.908725953999967,0.0,0.0,0.0,0.0,0.0
103610,1.0,3.960981754990912,1.0,1.0,1.0,0.0,0.26
103611,3.0,4.004276049678944,0.0,1.0,1.0,1.0,0.26
103612,12.0,3.077971081407134,0.0,1.0,0.0,0.0,0.091
103613,4.0,4.311870871010611,1.0,0.0,1.0,1.0,0.0
103614,5.0,3.04972487523639,0.0,1.0,1.0,0.0,0.26
103615,3.0,3.1712425106371773,0.0,0.0,0.0,1.0,0.0
103616,1.0,3.6240725434803847,1.0,0.0,1.0,0.0,0.0
103617,11.0,2.9492049008005483,1.0,1.0,0.0,1.0,-0.04
103618,8.0,5.419895697211314,1.0,1.0,0.0,0.0,0.0
103619,11.0,2.8629486443781733,1.0,0.0,0.0,1.0,-0.04
103620,10.0,3.3561966095468465,1.0,1.0,0.0,1.0,-0.04
103621,5.0,3.739331070710314,0.0,1.0,1.0,1.0,0.26
103622,6.0,4.021305796786117,0.0,1.0,0.0,1.0,0.091
103623,9.0,4.722035120019824,0.0,0.0,1.0,1.0,0.0
103624,10.0,4.7452040442492605,1.0,1.0,1.0,1.0,-0.04
103625,6.0,3.7511970160133483,0.0,1.0,0.0,1.0,0.091
103626,1.0,3.679878913481514,0.0,0.0,0.0,0.0,0.0
103627,4.0,4.049119558753496,0.0,1.0,0.0,0.0,0.091
103628,4.0,4.7485319909943255,1.0,1.0,0.0,1.0,0.091
103629,5.0,4.6374644056664795,0.0,0.0,0.0,0.0,0.0
103630,8.0,3.5640040815894563,0.0,1.0,1.0,0.0,0.26
103631,12.0,2.2572454168957323,0.0,0.0,0.0,1.0,0.0
103632,2.0,5.931405917635272,1.0,1.0,0.0,1.0,0.0
103633,5.0,4.864041238406505,1.0,0.0,0.0,1.0,0.0
103634,4.0,4.251330962038042,1.0,0.0,0.0,1.0,0.0
103635,7.0,4.319790192243383,0.0,1.0,0.0,0.0,0.091
103636,10.0,3.559434000119699,0.0,0.0,1.0,0.0,0.0
103637,12.0,3.143152940045891,0.0,0.0,1.0,0.0,0.0
103638,7.0,3.72517207253462,0.0,1.0,0.0,0.0,0.091
103639,4.0,3.821909113800375,0.0,1.0,1.0,0.0,0.26
103640,3.0,3.46892227361603,0.0,1.0,1.0,0.0,0.26
103641,10.0,2.754331333788323,1.0,0.0,0.0,0.0,-0.04
103642,1.0,3.7426587675039635,0.0,1.0,0.0,1.0,0.091
103643,2.0,4.5297449407804775,0.0,1.0,0.0,1.0,0.091
103644,1.0,3.582787323882437,0.0,0.0,1.0,0.0,0.0
103645,9.0,4.03757293343515,0.0,0.0,1.0,0.0,0.0
103646,11.0,2.2479598599701727,1.0,0.0,0.0,0.0,-0.04
103647,10.0,3.8349761865003495,0.0,0.0,0.0,0.0,0.0
103648,4.0,3.9104718363510718,1.0,0.0,0.0,0.0,0.0
103649,11.0,2.950264235244134,0.0,0.0,0.0,0.0,0.0
103650,1.0,2.5267145350119393,0.0,0.0,0.0,0.0,0.0
103651,12.0,4.383208263480385,1.0,0.0,1.0,0.0,-0.04
103652,8.0,3.308566844604675,1.0,1.0,0.0,1.0,0.091
103653,9.0,4.451261121200984,0.0,0.0,0.0,0.0,0.0
103654,2.0,3.6481962824416474,0.0,0.0,1.0,0.0,0.0
103655,12.0,4.571285215764958,1.0,1.0,1.0,1.0,-0.04
103656,5.0,3.719625644608661,1.0,1.0,0.0,0.0,0.091
103657,4.0,2.712704407251162,0.0,1.0,0.0,1.0,0.091
103658,11.0,3.9417846765417655,1.0,1.0,1.0,1.0,-0.04
103659,7.0,3.7288751691506286,0.0,1.0,1.0,1.0,0.26
103660,2.0,4.6017196606412805,0.0,0.0,0.0,1.0,0.0
103661,3.0,3.6215732697498986,1.0,1.0,0.0,0.0,0.091
103662,5.0,3.671990939420003,0.0,0.0,1.0,0.0,0.0
103663,2.0,4.78230253078179,0.0,0.0,1.0,1.0,0.0
103664,7.0,5.0560706355762814,0.0,0.0,0.0,0.0,0.0
103665,6.0,4.692703732610028,1.0,1.0,0.0,1.0,0.091
103666,8.0,4.941182862479455,1.0,0.0,1.0,0.0,0.0
103667,9.0,4.420882190741858,1.0,1.0,0.0,0.0,-0.04
103668,2.0,4.702433143830976,1.0,1.0,1.0,0.0,0.26
103669,10.0,4.798703965643265,1.0,1.0,0.0,1.0,0.0
103670,10.0,4.3760387111335275,0.0,0.0,0.0,1.0,0.0
103671,1.0,4.073798572015238,1.0,1.0,0.0,1.0,0.091
103672,10.0,4.143927488843866,1.0,1.0,1.0,0.0,-0.04
103673,12.0,6.166468195788357,1.0,0.0,0.0,1.0,0.0
103674,5.0,4.030240073652469,1.0,1.0,1.0,0.0,0.26
103675,3.0,3.8092859642449013,1.0,1.0,0.0,0.0,0.091
103676,7.0,3.697269879580493,1.0,0.0,0.0,1.0,0.0
103677,4.0,3.9886875549451024,1.0,0.0,1.0,0.0,0.0
103678,3.0,4.234382557182587,1.0,1.0,0.0,1.0,0.091
103679,10.0,3.031431531483757,1.0,1.0,0.0,0.0,-0.04
103680,8.0,2.3208410993633413,0.0,0.0,1.0,1.0,0.0
103681,11.0,4.279669218224177,0.0,1.0,1.0,1.0,0.26
103682,9.0,2.629406388975395,0.0,0.0,0.0,0.0,0.0
103683,9.0,4.247253573482721,1.0,1.0,0.0,0.0,-0.04
103684,10.0,4.142567605649038,0.0,0.0,1.0,0.0,0.0
103685,4.0,5.044084265326769,0.0,1.0,1.0,0.0,0.0
103686,2.0,5.507242590063376,1.0,0.0,0.0,1.0,0.0
103687,6.0,4.343974709376189,1.0,0.0,0.0,1.0,0.0
103688,12.0,3.531157918764478,1.0,0.0,1.0,1.0,-0.04
103689,11.0,2.9940705654239004,1.0,1.0,0.0,1.0,-0.04
103690,9.0,3.3240797929202133,1.0,1.0,1.0,1.0,-0.04
103691,5.0,4.053493767328371,0.0,0.0,1.0,0.0,0.0
103692,3.0,2.2490668458456153,1.0,1.0,0.0,1.0,0.091
103693,10.0,4.0846922380288015,1.0,0.0,1.0,0.0,-0.04
103694,6.0,4.007495044699602,1.0,0.0,1.0,1.0,0.0
103695,10.0,4.590201863569373,0.0,1.0,0.0,0.0,0.091
103696,3.0,3.723295372771505,0.0,0.0,1.0,0.0,0.0
103697,6.0,4.108413468387586,1.0,0.0,0.0,0.0,0.0
103698,10.0,3.3723912805097123,1.0,0.0,0.0,1.0,-0.04
103699,11.0,3.609803020390633,1.0,0.0,0.0,1.0,-0.04
103700,1.0,2.4905857768665745,0.0,1.0,0.0,0.0,0.091
103701,5.0,4.127529887828371,0.0,0.0,0.0,0.0,0.0
103702,4.0,5.398400972985382,1.0,1.0,1.0,0.0,0.0
103703,9.0,4.162069710487885,1.0,0.0,1.0,0.0,-0.04
103704,10.0,4.342343429347002,1.0,1.0,1.0,1.0,-0.04
103705,8.0,3.1598895208053985,0.0,0.0,1.0,0.0,0.0
103706,9.0,5.293203236210494,0.0,0.0,1.0,1.0,0.0
103707,4.0,3.3455648400816855,1.0,1.0,1.0,0.0,0.26
103708,1.0,4.730458161626121,1.0,0.0,0.0,1.0,0.0
103709,7.0,4.113094115795554,0.0,0.0,1.0,1.0,0.0
103710,1.0,3.179305275517544,1.0,1.0,1.0,0.0,0.26
103711,8.0,4.931703693292658,0.0,0.0,0.0,0.0,0.0
103712,8.0,4.031744077524124,1.0,1.0,0.0,0.0,0.091
103713,7.0,4.176323783973771,0.0,0.0,1.0,0.0,0.0
103714,11.0,4.419045285609813,1.0,1.0,1.0,0.0,-0.04
103715,2.0,3.9991452531098135,0.0,0.0,0.0,1.0,0.0
103716,5.0,3.684585676863108,0.0,1.0,0.0,1.0,0.091
103717,12.0,4.43152332080807,0.0,1.0,0.0,0.0,0.091
103718,4.0,3.6617418864098537,1.0,1.0,0.0,0.0,0.091
103719,12.0,4.075938356113279,0.0,0.0,0.0,0.0,0.0
103720,1.0,3.431942223887106,1.0,0.0,0.0,0.0,0.0
103721,1.0,2.726595708126368,0.0,1.0,1.0,0.0,0.26
103722,3.0,3.4271619263379067,1.0,0.0,1.0,0.0,0.0
103723,12.0,3.582570340676775,0.0,1.0,0.0,1.0,0.091
103724,8.0,4.031238475804206,0.0,1.0,1.0,0.0,0.26
103725,7.0,5.072249203609459,0.0,0.0,0.0,0.0,0.0
103726,2.0,2.5599382989207378,1.0,0.0,0.0,0.0,0.0
103727,2.0,4.131917309172633,0.0,1.0,1.0,1.0,0.26
103728,11.0,2.13509452655586,1.0,1.0,1.0,1.0,-0.04
103729,10.0,3.1046018558420347,0.0,0.0,0.0,1.0,0.0
103730,1.0,3.5721380038887593,0.0,0.0,1.0,0.0,0.0
103731,6.0,2.1025138467627804,1.0,1.0,0.0,0.0,0.091
103732,7.0,2.4210737315439914,1.0,1.0,0.0,1.0,0.091
103733,9.0,4.154457123189835,1.0,1.0,0.0,0.0,-0.04
103734,1.0,4.086916808305824,1.0,0.0,0.0,0.0,0.0
103735,10.0,3.917677863477177,0.0,0.0,0.0,1.0,0.0
103736,7.0,3.3137075061553776,0.0,1.0,1.0,1.0,0.26
103737,7.0,5.941564670898943,1.0,1.0,0.0,1.0,0.0
103738,5.0,3.8758332533391098,1.0,0.0,0.0,0.0,0.0
103739,1.0,3.2631204995181013,0.0,0.0,1.0,1.0,0.0
103740,12.0,5.5145943398306185,1.0,0.0,1.0,0.0,0.0
103741,10.0,4.5633603196646275,0.0,1.0,1.0,1.0,0.26
103742,10.0,3.691406532615415,1.0,0.0,0.0,0.0,-0.04
103743,9.0,5.079656254007119,0.0,1.0,1.0,0.0,0.0
103744,6.0,4.1567822953796805,0.0,1.0,0.0,0.0,0.091
103745,11.0,4.589037974998584,1.0,1.0,0.0,1.0,-0.04
103746,2.0,4.2260418139934295,1.0,1.0,1.0,0.0,0.26
103747,4.0,3.1195975675976744,1.0,0.0,1.0,0.0,0.0
103748,6.0,4.881697211083724,0.0,1.0,0.0,0.0,0.0
103749,10.0,4.160140730644174,1.0,0.0,1.0,0.0,-0.04
103750,5.0,3.1359762687624264,0.0,1.0,0.0,0.0,0.091
103751,11.0,3.3491169908203346,1.0,0.0,0.0,0.0,-0.04
103752,4.0,4.867535869269923,1.0,0.0,0.0,1.0,0.0
103753,5.0,3.6927823775656243,0.0,1.0,1.0,0.0,0.26
103754,4.0,4.059200484446787,0.0,1.0,0.0,0.0,0.091
103755,5.0,4.599186307206933,0.0,1.0,0.0,0.0,0.091
103756,10.0,4.131682912489032,1.0,1.0,1.0,0.0,-0.04
103757,5.0,2.69591930220418,0.0,1.0,0.0,1.0,0.091
103758,6.0,4.5839351241442685,0.0,1.0,1.0,0.0,0.26
103759,1.0,4.852382552333764,1.0,0.0,1.0,0.0,0.0
103760,7.0,4.788339717318854,0.0,0.0,0.0,0.0,0.0
103761,3.0,5.459396094751755,1.0,1.0,0.0,0.0,0.0
103762,6.0,4.340960951240314,1.0,1.0,1.0,0.0,0.26
103763,4.0,4.708391773325142,1.0,0.0,0.0,0.0,0.0
103764,5.0,5.434740679319363,0.0,0.0,0.0,1.0,0.0
103765,2.0,3.761859717575528,1.0,1.0,1.0,0.0,0.26
103766,6.0,5.566568138811344,1.0,0.0,1.0,0.0,0.0
103767,10.0,5.565018516275916,1.0,0.0,0.0,0.0,0.0
103768,8.0,4.713791904970883,0.0,1.0,1.0,0.0,0.26
103769,6.0,5.659210209823789,0.0,1.0,1.0,0.0,0.0
103770,11.0,4.77521735294677,1.0,1.0,0.0,1.0,0.0
103771,7.0,3.2470331258917917,1.0,1.0,0.0,0.0,0.091
103772,8.0,5.030209408678122,0.0,1.0,0.0,0.0,0.0
103773,4.0,4.307319781353384,1.0,0.0,1.0,0.0,0.0
103774,9.0,4.384677176751177,1.0,0.0,0.0,1.0,-0.04
103775,5.0,4.154953869586347,0.0,1.0,0.0,1.0,0.091
103776,3.0,5.2290166242539975,1.0,0.0,0.0,1.0,0.0
103777,10.0,4.508207646945138,0.0,0.0,0.0,1.0,0.0
103778,7.0,3.4074655910018397,0.0,1.0,0.0,0.0,0.091
103779,6.0,4.448991765200619,1.0,1.0,0.0,1.0,0.091
103780,9.0,4.665797622525639,1.0,1.0,1.0,0.0,-0.04
103781,8.0,3.381559789371278,0.0,0.0,0.0,0.0,0.0
103782,10.0,3.6358742126232233,0.0,0.0,0.0,1.0,0.0
103783,6.0,3.680773131603202,0.0,1.0,0.0,1.0,0.091
103784,12.0,3.4845470198747144,0.0,1.0,0.0,0.0,0.091
103785,7.0,4.327205580345489,0.0,0.0,0.0,1.0,0.0
103786,6.0,4.923273099074723,1.0,1.0,1.0,0.0,0.0
103787,11.0,5.7064620889105,1.0,0.0,0.0,0.0,0.0
103788,12.0,5.081448348677307,0.0,0.0,1.0,0.0,0.0
103789,4.0,4.927150266856992,0.0,0.0,1.0,0.0,0.0
103790,3.0,5.035404080980844,0.0,1.0,1.0,0.0,0.0
103791,7.0,5.207248150602968,1.0,1.0,1.0,0.0,0.0
103792,1.0,3.686343401582168,0.0,1.0,0.0,0.0,0.091
